과목명,자격증,직업,학과
스마트기기 설계·개발,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
항공우주 전자 기초,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
웹 프로그래밍 실무,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
기계 요소 설계,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
전자문서 작성 실무,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
전자제품 3D디자인,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
빅데이터 엑셀,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
항공기 전기·전자 장비 제작,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
스마트기기 설계·개발,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
항공우주 전자 기초,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
로봇 제작,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
기계 요소 설계,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
전자문서 작성 실무,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
전자제품 3D디자인,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
빅데이터 엑셀,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
항공기 전기·전자 장비 제작,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
스마트기기 설계·개발,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
웹 프로그래밍 실무,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
로봇 제작,3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자캐드기능사|컴퓨터 활용 능력|워드프로세서,3D 제품 디자이너|PCB 설계 엔지니어|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자회로 설계 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|사무정보과|전자공학과|정보처리학과|제품디자인과|항공전자과|항공정비과|회로설계학과
기계 요소 설계,전자캐드기능사|컴퓨터 활용 능력|워드프로세서|3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자기능사|정보통신기능사(현 통신선로기능사),3D 제품 디자이너|PCB 설계 엔지니어|네트워크 설치 기술자|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자부품 조립 및 유지보수 기술자|전자회로 설계 기술자|정보통신 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|네트워크과|사무정보과|전자공학과|전자기기과|정보처리학과|정보통신공학과|제품디자인과|항공전자과|항공정비과|회로설계학과
전자문서 작성 실무,전자캐드기능사|컴퓨터 활용 능력|워드프로세서|3D프린터 운용 기능사|항공 전기전자 정비 기능사|전자기능사|정보통신기능사(현 통신선로기능사),3D 제품 디자이너|PCB 설계 엔지니어|네트워크 설치 기술자|데이터 입력 및 관리 직무|사무 자동화 전문가|시제품 설계 기술자|전자부품 조립 및 유지보수 기술자|전자회로 설계 기술자|정보통신 기술자|항공기 정비 기술자|항공전자정비사,3D디자인과|네트워크과|사무정보과|전자공학과|전자기기과|정보처리학과|정보통신공학과|제품디자인과|항공전자과|항공정비과|회로설계학과
